PARAM,AVG_TIME,RUN,FAILED,NB INSTANCES
20,211.7ms,1,1,3
20,116.1ms,2,1,2
20,153.8ms,3,1,2
40,5051.9ms,1,1,4
40,1015.1ms,2,1,12
40,770.4ms,3,1,19
60,6476.4ms,1,1,4
60,1584.1ms,2,1,12
60,1263.5ms,3,1,18
